,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU204,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Acrophialophora,s__Acrophialophora levis
OTU205,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,Unclassified
OTU206,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Neodidymelliopsis,s__Neodidymelliopsis ranunculi
OTU207,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU208,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma globispora
OTU209,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,Unclassified,Unclassified,Unclassified
OTU210,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU211,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU212,k__Rhizaria,p__Cercozoa,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU213,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Tulostoma,Unclassified
OTU214,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,Unclassified,Unclassified,Unclassified
OTU215,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Spegazzinia,Unclassified
OTU216,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU217,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Melanconidaceae,g__Melanconiella,Unclassified
